Species,Year,Area_name,Stratum.SampleUnit,Stratum.SampleSize,Stratum.PosSampleSize,Stratum.Abundance,Stratum.MeanDensity,Stratum.VarDensity,Stratum.SDDensity,Stratum.CVDensity,Stratum.SE,Stratum.UpperCI,Stratum.LowerCI
S.melops,2003,Indre Oslofjord,area4,19,19,6454,6.05,1.04,1.02,0.17,0.23,6.51,5.59
S.melops,2004,Søgne-Grimstad,area1a,22,22,12414,13.73,6.72,2.59,0.19,0.55,14.81,12.64
S.melops,2004,Arendal-Risør,area1b,25,25,6032,9.84,3.56,1.89,0.19,0.38,10.58,9.10
S.melops,2004,Kragerø-Larvik,area2,14,14,12934,12.07,5.71,2.39,0.20,0.64,13.32,10.82
S.melops,2004,Ytre Oslofjord,area3,28,28,34210,42.11,42.87,6.55,0.16,1.24,44.53,39.68
S.melops,2004,Indre Oslofjord,area4,14,14,4951,4.64,1.23,1.11,0.24,0.30,5.22,4.06
S.melops,2005,Søgne-Grimstad,area1a,23,23,11521,12.74,5.59,2.36,0.19,0.49,13.71,11.77
S.melops,2005,Arendal-Risør,area1b,25,25,8362,13.64,4.33,2.08,0.15,0.42,14.46,12.82
S.melops,2005,Kragerø-Larvik,area2,19,19,11279,10.53,7.08,2.66,0.25,0.61,11.72,9.33
S.melops,2005,Ytre Oslofjord,area3,27,27,26781,32.96,40.03,6.33,0.19,1.22,35.35,30.58
S.melops,2005,Indre Oslofjord,area4,21,21,11171,10.48,6.13,2.48,0.24,0.54,11.54,9.42
S.melops,2006,Søgne-Grimstad,area1a,24,24,18238,20.17,15.53,3.94,0.20,0.80,21.74,18.59
S.melops,2006,Arendal-Risør,area1b,25,25,8558,13.96,6.61,2.57,0.18,0.51,14.97,12.95
S.melops,2006,Kragerø-Larvik,area2,18,18,11012,10.28,4.97,2.23,0.22,0.53,11.31,9.25
S.melops,2006,Ytre Oslofjord,area3,28,28,37779,46.50,65.98,8.12,0.17,1.54,49.51,43.49
S.melops,2006,Indre Oslofjord,area4,23,23,15855,14.87,21.07,4.59,0.31,0.96,16.75,12.99
S.melops,2007,Søgne-Grimstad,area1a,18,17,7235,8.00,3.32,1.82,0.23,0.43,8.84,7.16
S.melops,2007,Arendal-Risør,area1b,21,21,2481,4.05,0.63,0.79,0.20,0.17,4.39,3.71
S.melops,2007,Kragerø-Larvik,area2,12,12,4018,3.75,0.73,0.85,0.23,0.25,4.23,3.27
S.melops,2007,Ytre Oslofjord,area3,23,23,19181,23.61,60.39,7.77,0.33,1.62,26.78,20.43
S.melops,2007,Indre Oslofjord,area4,8,8,4132,3.88,2.48,1.57,0.41,0.56,4.97,2.78
S.melops,2008,Søgne-Grimstad,area1a,23,23,12818,14.17,6.47,2.54,0.18,0.53,15.21,13.13
S.melops,2008,Arendal-Risør,area1b,27,27,7016,11.44,4.41,2.10,0.18,0.40,12.24,10.65
S.melops,2008,Kragerø-Larvik,area2,20,20,10983,10.25,5.83,2.41,0.24,0.54,11.31,9.19
S.melops,2008,Ytre Oslofjord,area3,27,27,30873,38.00,55.29,7.44,0.20,1.43,40.80,35.20
S.melops,2008,Indre Oslofjord,area4,17,17,8718,8.18,6.35,2.52,0.31,0.61,9.37,6.98
S.melops,2009,Søgne-Grimstad,area1a,21,21,18475,20.43,17.24,4.15,0.20,0.91,22.20,18.65
S.melops,2009,Arendal-Risør,area1b,24,24,9349,15.25,9.60,3.10,0.20,0.63,16.49,14.01
S.melops,2009,Kragerø-Larvik,area2,18,18,11608,10.83,5.86,2.42,0.22,0.57,11.95,9.71
S.melops,2009,Ytre Oslofjord,area3,1,1,812,1.00,Inf,Inf,Inf,Inf,Inf,#NAME?
S.melops,2009,Indre Oslofjord,area4,4,4,29323,27.50,146.08,12.09,0.44,6.04,39.34,15.66
S.melops,2010,Søgne-Grimstad,area1a,24,24,14997,16.58,7.15,2.67,0.16,0.55,17.65,15.51
S.melops,2010,Arendal-Risør,area1b,24,24,9553,15.58,14.04,3.75,0.24,0.76,17.08,14.08
S.melops,2010,Kragerø-Larvik,area2,20,20,15322,14.30,7.25,2.69,0.19,0.60,15.48,13.12
S.melops,2010,Ytre Oslofjord,area3,25,23,18004,22.16,20.45,4.52,0.20,0.90,23.93,20.39
S.melops,2010,Indre Oslofjord,area4,16,16,10463,9.81,7.01,2.65,0.27,0.66,11.11,8.52
S.melops,2011,Søgne-Grimstad,area1a,14,14,6783,7.50,6.91,2.63,0.35,0.70,8.88,6.12
S.melops,2011,Arendal-Risør,area1b,11,11,2619,4.27,0.75,0.86,0.20,0.26,4.78,3.76
S.melops,2011,Kragerø-Larvik,area2,4,4,6697,6.25,10.23,3.20,0.51,1.60,9.38,3.12
S.melops,2011,Ytre Oslofjord,area3,21,21,8550,10.52,7.14,2.67,0.25,0.58,11.67,9.38
S.melops,2011,Indre Oslofjord,area4,7,7,2590,2.43,0.42,0.65,0.27,0.25,2.91,1.95
S.melops,2012,Søgne-Grimstad,area1a,18,18,4120,4.56,0.98,0.99,0.22,0.23,5.01,4.10
S.melops,2012,Arendal-Risør,area1b,24,24,5057,8.25,2.32,1.52,0.18,0.31,8.86,7.64
S.melops,2012,Kragerø-Larvik,area2,15,15,8215,7.67,4.30,2.07,0.27,0.54,8.72,6.62
S.melops,2012,Ytre Oslofjord,area3,22,22,30504,37.55,55.38,7.44,0.20,1.59,40.66,34.44
S.melops,2012,Indre Oslofjord,area4,13,13,7382,6.92,1.75,1.32,0.19,0.37,7.64,6.20
S.melops,2013,Søgne-Grimstad,area1a,19,19,9805,10.84,10.46,3.23,0.30,0.74,12.30,9.39
S.melops,2013,Arendal-Risør,area1b,25,24,3335,5.44,0.77,0.88,0.16,0.18,5.78,5.10
S.melops,2013,Kragerø-Larvik,area2,18,18,8691,8.11,1.82,1.35,0.17,0.32,8.73,7.49
S.melops,2013,Ytre Oslofjord,area3,28,28,21037,25.89,31.12,5.58,0.22,1.05,27.96,23.83
S.melops,2013,Indre Oslofjord,area4,12,12,7731,7.25,14.90,3.86,0.53,1.11,9.43,5.07
S.melops,2014,Søgne-Grimstad,area1a,21,21,24504,27.10,19.98,4.47,0.16,0.98,29.01,25.18
S.melops,2014,Arendal-Risør,area1b,25,25,9833,16.04,9.67,3.11,0.19,0.62,17.26,14.82
S.melops,2014,Kragerø-Larvik,area2,18,18,10596,9.89,6.82,2.61,0.26,0.62,11.10,8.68
S.melops,2014,Ytre Oslofjord,area3,26,26,34529,42.50,121.05,11.00,0.26,2.16,46.73,38.27
S.melops,2014,Indre Oslofjord,area4,15,15,6824,6.40,1.35,1.16,0.18,0.30,6.99,5.81
S.melops,2015,Søgne-Grimstad,area1a,17,17,5639,6.24,1.70,1.30,0.21,0.32,6.85,5.62
S.melops,2015,Arendal-Risør,area1b,21,21,3532,5.76,1.09,1.05,0.18,0.23,6.21,5.31
S.melops,2015,Kragerø-Larvik,area2,15,15,19001,17.73,22.03,4.69,0.26,1.21,20.11,15.36
S.melops,2015,Ytre Oslofjord,area3,25,25,22489,27.68,34.44,5.87,0.21,1.17,29.98,25.38
S.melops,2015,Indre Oslofjord,area4,15,15,4478,4.20,0.52,0.72,0.17,0.19,4.56,3.84
S.melops,2016,Søgne-Grimstad,area1a,26,21,9287,10.27,5.58,2.36,0.23,0.46,11.18,9.36
S.melops,2016,Arendal-Risør,area1b,27,24,11102,18.11,17.17,4.14,0.23,0.80,19.67,16.55
S.melops,2016,Kragerø-Larvik,area2,22,21,14319,13.36,7.28,2.70,0.20,0.58,14.49,12.24
S.melops,2016,Ytre Oslofjord,area3,29,28,35888,44.17,69.86,8.36,0.19,1.55,47.21,41.13
S.melops,2016,Indre Oslofjord,area4,30,22,8246,7.73,4.84,2.20,0.28,0.40,8.52,6.95
S.melops,2017,Søgne-Grimstad,area1a,25,20,8573,9.48,5.67,2.38,0.25,0.48,10.41,8.55
S.melops,2017,Arendal-Risør,area1b,27,21,3111,5.07,1.58,1.26,0.25,0.24,5.55,4.60
S.melops,2017,Kragerø-Larvik,area2,22,16,15682,14.64,22.23,4.71,0.32,1.01,16.61,12.67
S.melops,2017,Ytre Oslofjord,area3,29,25,12299,15.14,8.08,2.84,0.19,0.53,16.17,14.10
S.melops,2017,Indre Oslofjord,area4,29,18,9045,8.48,14.94,3.87,0.46,0.72,9.89,7.08
S.melops,2018,Søgne-Grimstad,area1a,26,25,19304,21.35,20.96,4.58,0.21,0.90,23.11,19.59
S.melops,2018,Arendal-Risør,area1b,27,25,13191,21.52,16.39,4.05,0.19,0.78,23.05,19.99
S.melops,2018,Kragerø-Larvik,area2,22,22,16997,15.86,8.91,2.98,0.19,0.64,17.11,14.62
S.melops,2018,Ytre Oslofjord,area3,28,28,17671,21.75,36.07,6.01,0.28,1.13,23.97,19.53
S.melops,2018,Indre Oslofjord,area4,31,21,7602,7.13,6.86,2.62,0.37,0.47,8.05,6.21
